,,,,,,
,,,,,,
,,,,,,
,,"""Mandar a freir espárragos""","""Send someone packing""","""Enviar a alguien a empacar""","""Enviar a alguien a empacar""","""Enviar a alguien a empacar"""
,,"""Meterse en camisa de once varas""","""Have got a tiger by the tail""","""Tienes un tigre por la cola""","""Tienes un tigre por la cola""","""Tienes un tigre por la cola"""
,,"""Mucho ruido y pocas nueces""","""All bark and not bite""","""Todos ladran y no muerden""","""Todos ladran y no muerden""","""Todos ladran y no muerden"""
,,"""No todo el monte es orégano""","""Life isn't all a bowl of cherries""","""La vida no es todo un cuenco de cerezas""","""La vida no es todo un cuenco de cerezas""","""La vida no es todo un cuenco de cerezas"""
,,"""Poner en solfa""","""Make a fool of""","""Poner en ridículo""","""Hacer el ridículo""","""Haz el ridículo"""
,,"""Ponerse morado""","""Stuff one's face""","""Llenarse la cara""","""Llenarse la cara""","""Llenarse la cara"""
,,"""Poner los puntos sobre la íes""","""Set something straight""","""Poner algo en claro""","""Poner algo en claro""","""Establece algo en orden"""
,,"""Ser duro de mollera""","""Be hard-headed""","""Ser duro""","""Ser duro""","""Ser testarudo"""
,,"""Ser la oveja negra""","""Be the black sheep""","""Ser la oveja negra""","""Ser la oveja negra""","""Ser la oveja negra"""
,,"""Tener mala uva""","""Be bitchy""","""Ser perra""","""Ser perra""","""Ser perra"""
,,"""Vacas flacas""","""Lean years""","""Años de escasez""","""Años de vacas flacas""","""Años de vacas flacas"""
,,"""Zapatero, a tus zapatos""","""Stick to one's last""","""Apegarse al último""","""Apegarse al último""","""Quédate con lo último"""
,,"""Faltar un tornillo""","""Be missing a wing nut""","""Falta una tuerca de mariposa""","""Falta una tuerca del ala""","""Echa de menos una tuerca del ala"""
,,"""Ser de la cofradía del puño cerrado""","""To be a penny-pincher""","""Ser un tacaño""","""Ser un tacaño""","""Ser un penny-pincher"""
,,"""Oler a chamusquina""","""Being switched""","""Ser cambiado""","""Ser cambiado""","""Ser conmutado"""
,,"""Pagar a toca teja""","""To pay on the nail""","""Pagar en la uña""","""Para pagar en el clavo""","""Para pagar en el clavo"""
,,"""Pasar las de Caín""","""To go through hell""","""Pasar por el infierno""","""Pasar por el infierno""","""Pasar por el infierno"""
,,"""Pensar en las musarañas""","""To daydream""","""Soñar despierto""","""Soñar despierto""","""Soñar despierto"""
,,"""Perder el norte""","""Lose your way""","""Pierde tu camino""","""Pierde tu camino""","""Pierde el rumbo"""
,,"""Poner en tela de juicio""","""To call into question""","""Para poner en duda""","""Para poner en duda""","""Para poner en tela de juicio"""
,,"""Poner la mano en el fuego""","""Risk my neck for""","""Arriesgar mi cuello por""","""Arriesgar mi cuello por""","""Poner la mano en el fuego"""
,,"""Poner los dientes largos""","""To make somebody green with envy""","""Para poner a alguien verde de envidia""","""Para poner a alguien verde de envidia""","""Hacer a alguien verde de envidia"""
,,"""Ponerse las pilas""","""Put one's skates on""","""Ponte los patines""","""Ponte los patines""","""Ponte los patines"""
,,"""Costar un ojo de la cara""","""To cost an arm and a leg""","""Costar un brazo y una pierna""","""Costar un brazo y una pierna""","""Costar un brazo y una pierna"""
,,"""Matar el gusanillo""","""Keep hunger at bay""","""Mantener el hambre a raya""","""Mantener el hambre a raya""","""Mantener el hambre a raya"""
,,"""Tomar el pelo""","""To pull someone's leg""","""Halar la pierna de alguien""","""Tomar el pelo a alguien""","""Tirar de la pierna a alguien"""
,,"""Al pan, pan y al vino, vino""","""""Let's tell it like it is""","""Digamos las cosas como son""","""Digamos las cosas como son""","""Digamos las cosas como son"""
,,"""¡A vivir que son dos días""!","""Let's just go ahead and go live""","""Sigamos adelante y salgamos en vivo""","""Sigamos adelante y salgamos en vivo""","""Sigamos adelante y salgamos en vivo"""
,,"""Como agua de mayo""","""A welcome windfall""","""Un golpe de suerte bienvenido""","""Una ganancia inesperada""","""Una ganancia inesperada"""
,,"""Dorar la píldora""","""Sugarcoat it""","""Endulzarlo""","""Endulzarlo""","""Sugarcoat it"""
,,"""Dormirse en los laureles""","""Rest on its laurels""","""Descansar en sus laureles""","""Descansar en sus laureles""","""Descansar en sus laureles"""
,,"""El mundo es un pañuelo""","""It's a smal world""","""Es un mundo pequeño""","""Es un mundo pequeño""","""Es un mundo pequeño"""
,,"""El quinto pino""","""At the back of beyond""","""En el quinto pino""","""En el fondo del más allá""","""En la parte posterior del más allá"""
,,"""El uno por el otro la casa sin barrer""","""If we all waited for someone else to do it, it'd never get done""","""Si todos esparáramos a que alguien más lo hiciera, nunca lo haríamos""","""Si todos esparáramos a que alguien más lo hiciera, nunca lo haríamos""","""Si todos esparáramos a que alguien más lo hiciera, nunca lo haríamos"""
,,"""El horno no está para bollos""","""it is not the right moment""","""No es el momento adecuado""","""No es el momento adecuado""","""No es el momento adecuado"""
,,"""Echar leña al fuego""","""Add fuel to the fire""","""Agregar combustible al fuego""","""Echar leña al fuego""","""Echar leña al fuego"""
,,"""El talón de aquiles""","""Achilles' heel""","""Talón de Aquiles""","""Talón de Aquiles""","""Talón de Aquiles"""
,,"""Entre ceja y ceja""","""Eyes are set on me""","""Los ojos están puestos en mí""","""Los ojos están puestos en mí""","""Los ojos están puestos en mí"""
,,"""Entre pitos y flautas""","""What with one thing and another""","""Que con una cosa y otra""","""Que con una cosa y otra""","""Que con una cosa y otra"""
,,"""Estar en la gloria""","""Bliss out""","""Felicidad fuera""","""Felicidad fuera""","""Felicidad fuera"""
,,"""Estar cascado""","""Be dead beat""","""Estar muerto""","""Estar muerto de hambre""","""Ser golpeado muerto"""
,,"""Estar como pez en el agua""","""Be in one's element""","""Estar en el elemento de uno""","""Estar en su elemento""","""Estar en el propio elemento"""
,,"""Estar de buen año""","""Be a bit of all right""","""Estar un poco bien""","""Ser un poco de todo bien""","""Estar un poco bien"""
,,"""Esto es jauja""","""This is bliss""","""Esto es felicidad""","""Esto es felicidad""","""Esto es felicidad"""
,,"""Ha pasado un ángel""","""Everyone lapsed into silence""","""Todos cayeron en silencio""","""Todo el mundo se sumió en el silencio""","""Todos cayeron en silencio"""
,,"""Hablando del rey de Roma, por la puerta asoma""","""Talk of the devil and you'll see his hoofs""","""Habla del diablo y verás sus cascos""","""Habla del diablo y verás sus pezuñas""","""Habla del diablo y verás sus pezuñas"""
,,"""Hacer la pelota""","""Curry favor""","""Congraciarse con""","""El favor del Curry""","""Curry favor"""
,,"""Hacer la visita del médico""","""Make a brief visit""","""Hacer una breve visita""","""Hacer una breve visita""","""Hacer una breve visita"""
,,"""Hacerse la boca agua""","""Make one's mouth water""","""Hacer la boca agua""","""Hacer la boca agua""","""Hacer la boca agua"""
,,"""Ir pisando huevos""","""Walk on eggshells""","""Caminar sobre cáscaras de huevo""","""Caminar sobre cáscaras de huevo/ Caminar con pies de plomo""","""Caminar sobre cáscaras de huevo"""
,,"""Irse con la música a otra parte""","""Go jump in a lake""","""Ir a saltar a un lago""","""Ir a saltar a un lago""","""Ir a saltar a un lago"""
,,"""Llegar y besar el santo""","""Pull it off on the first attempt"" ","""Consíguelo en el primer acto""","""Consíguelo en el primer acto""","""Consíguelo en el primer acto"""
,,"""Llevar la voz cantante""","""Rool the rost""","""Tener el control completo""","""Gobernar el resto""","""Gobierna el dormidero"""
,,"""Llevarse el gato al agua""","""Hit a home run""","""Bateó un home run""","""Bateó un home run""","""Bateó un jonrón"""
,,"""Llevarse como el perro y el gato""","""Get on cats and dogs""","""Súbete a gatos y perros""","""Súbete a gatos y perros""","""Súbete a gatos y perros"""
,,"""Llueve sobre mojado""","""When it rains, it pours""","""Cuando llueve, diluvia""","""Cuando llueve, diluvia""","""Cuando llueve, llueve"""
,,"""Meter el dedo en la llaga""","""Rub it in""","""Frote""","""Frotarlo en""","""Frotarlo en"""
,,"""Ni fu ni fa""","""So so""","""Regular""","""Asi que""","""Más o menos"""
,,"""Ni harto de vino""","""No way""","""De ningún modo""","""De ningún modo""","""No es posible"""
,,"""No dar el brazo a torcer""","""Stand one's ground""","""Mantenerse firme""","""Mantenerse firme""","""Mantenerse firme"""
,,"""No pegar ojo""","""Not to sleep a wink""","""Para no pegar ojo""","""Para no pegar ojo""","""No dormir un guiño"""
,,"""No pegar ni con cola""","""Look out of place""","""Estar fuera de lugar""","""Estar fuera de lugar""","""Estar fuera de lugar"""
,,"""No ser trigo limpio""","""Not to be honest""","""No ser honesto""","""No ser honesto""","""No ser honesto"""
,,"""Nunca digas de este agua no beberé""","""Never say never""","""Nunca digas nunca""","""Nunca digas nunca""","""Nunca digas nunca"""
,,"""Otro gallo cantaría""","""Things would be different""","""Las cosas serían diferentes""","""Las cosas serían diferentes""","""Las cosas serían diferentes"""
,,"""Pasar página""","""Forget it""","""Olvídalo""","""Olvídalo""","""Olvídalo"""
,,"""Pasar por el aro""","""Toe the line""","""Pisar la línea""","""No meterse en líos""","""Puntear la línea"""
,,"""Pasarse tres pueblos""","""Go too far""","""Ir demasiado lejos""","""Ir demasiado lejos""","""Ir demasiado lejos"""
,,"""Pedirle peras al olmo""","""Get blood out of a stone""","""Sacar sangre de una piedra""","""Sacar sangre de una piedra""","""Sacar sangre de una piedra"""
,,"""Poner cara de póquer""","""Show no emotions""","""No mostrar emociones""","""No mostrar emociones""","""No mostrar emociones"""
,,"""Por la boca muere el pez""","""Keep mum""","""Guarda silencio""","""No digas nada""","""Manténgase en silencio"""
,,"""Que me quiten lo bailao""","""Enjoy yourself when you can""","""Diviértete cuando puedas""","""Diviértete cuando puedas""","""Diviértete cuando puedas"""
,,"""Que si quieres arroz Catalina""","""No such stubbornness""","""No hay tal terquedad""","""No hay tal terquedad""","""No hay tal terquedad"""
,,"""Quedarse a cuadros""","""To be stunned""","""Estar aturdido""","""Estar aturdido""","""Quedarse atónito"""
,,"""Quedarse en el tintero""","""Not to mention""","""Por no mencionar""","""Por no hablar de""","""Por no hablar de"""
,,"""Quedarse con la copla""","""Get the idea""","""Captar la idea""","""Captar la idea""","""Captar la idea"""
,,"""Rizar el rizo""","""Complicate matters""","""Complicar las cosas""","""Complicar las cosas""","""Complicar las cosas"""
,,"""Romper el hielo""","""Break the ice""","""Romper el hielo""","""Romper el hielo""","""Romper el hielo"""
,,"""Sacar las castañas del fuego""","""Do someone's difficult work""","""Hacer el trabajo difícil de alguien""","""Hacer el trabajo difícil de alguien""","""Hacer el trabajo difícil de alguien"""
,,"""Salirse de madre""","""Lone oneself""","""Solitario""","""Solitario""","""Solitario"""
,,"""Salvarse por los pelos""","""Have a close call""","""Tener una llamada cercana""","""Tener una llamada cercana""","""Tener una llamada cercana"""
,,"""Sarna con gusto no pica""","""If you love scabies they don't hurt""","""Si amas la sarna, no duele""","""Si amas la sarna, no duele""","""Si amas la sarna, no duele"""
,,"""Ser más corto que las mangas de un chaleco""","""Be as thick as a brick""","""Ser tan grueso como un ladrillo""","""Ser tan grueso como un ladrillo""","""Ser tan grueso como un ladrillo"""
,,"""Ser como el perro del hortelano, que ni come ni deja comer""","""Be a dog in the manger""","""Ser un perro en el pesebre""","""Ser un perro en el pesebre""","""Ser un perro en el pesebre"""
,,"""Ser pan comido""","""Be a piece of cake""","""Ser pan comido""","""Ser un juego de niños""","""Ser pan comido"""
,,"""Ser uña y carne""","""Be hand in glove""","""Ser uña y carne""","""Ir de la mano""","""Estar mano a mano en guante"""
,,"""Tener enchufe""","""Be connected""","""Estar conectado""","""Estar conectado""","""Estar conectado"""
,,"""Tener la sartén por el mango""","""Take the bit between one's teeth""","""Tomar el bocado entre los dientes""","""Tomar el bocado entre los dientes""","""Tomar el bocado entre los dientes"""
,,"""Tener más cuento que Calleja""","""Be full of excuses""","""Estar lleno de excusas""","""Estar lleno de excusas""","""Estar lleno de excusas"""
,,"""Tirar de la manta""","""Let the cat out of the bag""","""Dejar al gato fuera de la bolsa""","""Dejar al gato fuera de la bolsa""","""Dejar escapar algo"""
,,"""Tirar la piedra y esconder la mano""","""Be a grass snake""","""Ser una serpiente de hierba""","""Ser una serpiente de hierba""","""Ser una serpiente de hierba"""
,,"""Tirar la toalla""","""Throw one's hands in""","""Tirar las manos""","""Tirar las manos""","""Tirar las manos"""
,,"""Tropezar dos veces con la misma piedra""","""Make the same mistake twice""","""Cometer el mismo error dos veces""","""Cometer el mismo error dos veces""","""Cometer el mismo error dos veces"""
,,"""Más vale estar solo que mal acompañado""","""Better to be alone that in bad company""","""Mejor estar solo que en mala compañía""","""Mejor estar solo que en mala compañía""","""Mejor estar solo que en mala compañía"""
,,"""A caballo regalado no le mires el diente""","""Beggars can't be choosers""","""Los mendigos no pueden ser selectores""","""Los mendigos no pueden elegir""","""Los mendigos no pueden ser elegidos"""
,,"""A lo hecho, pecho""","""Don't cry over spilled milk""","""No llores por la leche derramada""","""No llores sobre la leche derramada""","""No llores por la leche derramada"""
,,"""Al mal tiempo, buena cara""","""Make the best of a bad job""","""Sacar lo mejor de un mal trabajo""","""Sacar lo mejor de un mal trabajo""","""Sacar lo mejor de un mal trabajo"""
,,"""Cada loco con su tema""","""Each his own""","""Cada uno lo suyo""","""Cada uno a lo suyo""","""Cada uno lo suyo"""
,,"""De tal palo, tal astilla""","""Like breeds like""","""Lo similar genera lo similar""","""Las razas como""","""Como razas como"""
,,"""El que la hace, la paga""","""As you make your bed; so you must lie in it""","""Como haces tu cama, así debes acostarte en ella""","""Como haces tu cama, así debes acostarte en ella""","""Mientras haces tu cama; así que debes mentir en él"""
,,"""Dinero llama dinero""","""Money goes where money is""","""El dinero va donde está el dinero""","""El dinero va donde está el dinero""","""El dinero va donde está el dinero"""
,,"""A la tercera va la vencida""","""Third time's a charm""","""Tercera es la vencida""","""A la tercera va la vencida""","""La tercera vez es un encanto"""
,,"""Cada oveja con su pareja""","""Birds of a feather flock together""","""Dios los cría y ellos se juntan""","""Los pájaros de una pluma vuelan juntos""","""Los pájaros de una pluma se agrupan"""
,,"""Más vale prevenir que lamentar""","""A stitch in time saves nine""","""Una puntada a tiempo ahorra nueve""","""Una puntada a tiempo ahorra nueve""","""Una puntada en el tiempo salva nueve"""
,,"""Más vale tarde que nunca""","""Better late than never""","""Más vale tarde que nunca""","""Más vale tarde que nunca""","""Más vale tarde que nunca"""
,,"""En boca cerrada no entran moscas""","""Loose lips sink ships""","""Labios flojos hunden barcos""","""Los labios sueltos hunden barcos""","""Los labios sueltos hunden barcos"""
,,"""Al que madruga, Dios le ayuda""","""Early birds gets the worm""","""Los pájaros madrugadores consiguen el gusano""","""A quien madruga, Dios le ayuda""","""Los madrugadores se llevan el gusano"""
,,"""El que calla otorga""","""Silence gives consent""","""Quien calla otorga""","""El silencio da el consentimiento""","""El silencio da su consentimiento"""
,,"""Amor con amor se paga""","""Love is rewarded with love""","""El amor se recompensa con amor""","""El amor se recompensa con amor""","""El amor se recompensa con amor"""
,,"""El que ríe el último, ríe mejor""","""Get the last laugh""","""Obtener la última risa""","""Rié el último""","""Consigue la última risa"""
,,"""A palabras necias, oídos sordos""","""Sticks and stones""","""Palos y piedras""","""Palos y piedras""","""Palos y piedras"""
,,"""Cría fama y échate a dormir""","""Give a dog a bad name (and hang it)""","""Dale a un perro un mal nombre y cuélgalo""","""Dale a un perro un mal nombre y cuélgalo""","""Dale a un perro un mal nombre y cuélgalo"""
,,"""Del dicho al hecho, hay un trecho""","""Easier said than done""","""Es más fácil decirlo que hacerlo""","""Es más fácil decirlo que hacerlo""",
,,"""Dios aprieta pero no ahoga""","""God tempers the wind to the shorn lamb""","""Dios templa el viento al cordero trasquilado""","""Dios templa el viento al cordero trasquilado""","""Dios templa el viento al cordero trasquilado"""
,,"""Donde fueres haz lo que vieres""","""When in rome, do as the romans do""","""Cuando fueres, haz lo que vieres""","""Cuando estés en Roma, haz lo que hacen los Romanos""","""Cuando estés en Roma, haz lo que hacen los Romanos"""
,,"""Quien mucho abarca, poco aprieta""","""Do not bite off more that you can chew""","""No muerdas más de lo que puedas masticar""","""No muerdas más de lo que puedas masticar""","""No muerdas más de lo que puedas masticar"""
,,"""Hombre precavido vale por dos""","""One good forewit is worth two afterwits""","""Un buen ingenio vale por dos ingenios posteriores""","""Un buen previsor vale más que dos pregoneros""","""Una buena prestidigit vale dos afterwits"""
,,"""Preguntando se llega a Roma""","""Better to ask the way than go astray""","""Mejor preguntar el camino que extraviarse""","""Mejor preguntar el camino que extraviarse""","""Mejor preguntar el camino que extraviarse"""
,,"""Obras son amores y no buenas razones""","""Actions speak louder than words""","""Obras son amores, que no buenas razones""","""Las acciones hablan más que las palabras""","""Las acciones hablan más que las palabras"""
,,"""En la variedad está el gusto""","""Variety is the spice of life""","""La variedad es la sal de la vida""","""En la variedad está el gusto""","""La variedad es la especie de la vida"""
,,"""Tanto tienes, tanto vales""","""You are what you own""","""Eres lo que tienes""","""Eres lo que tienes""","""Eres lo que tienes"""
,,"""Nadie es profeta en su tierra""","""No man is prophet in his own land""","""Ninguno es profeta en su tierra""","""Nadie es profeta en su tierra""","""Ningún hombre es profeta en su propia tierra"""
,,"""El que espera desespera""","""A watched kettle never boils""","""Una tetera vigilada nunca hierve""","""Una tetera vigilada nunca hierve""","""Una tetera vigilada nunca hierve"""
,,"""No hay mal que cien años dure""","""This too shall pass""","""Esto también pasará""","""Esto también pasará""","""Esto también pasará"""
,,"""La fe mueve montañas""","""Faith moves mountains""","""La fe mueve montañas""","""La fe mueve montañas""","""La fe mueve montañas"""
,,"""El que lo huele, debajo lo tiene""","""Dealt it""","""Tratado""","""Lo repartió""","""Lo repartí"""
,,"""Si te he visto, no me acuerdo""","""If I have seen you, I don't remember""","""Si te he visto, no me acuerdo""","""Si te he visto, no me acuerdo""","""Si te he visto, no me acuerdo"""
,,"""No hay mal que por bien no venga""","""Blessing in disguise""","""Bendición disfrazada""","""Bendición disfrazada""","""Desgracia con suerte"""
,,"""Querer es poder""","""When there is a will, there is a way""","""Cuando hay voluntad, hay camino""","""Cuando hay voluntad, hay camino""","""Cuando hay voluntad, hay camino"""
,,"""Más vale maña que fuerza""","""Brains over brawn""","""Cerebro sobre fuerza""","""Cerebro sobre músculo""","""Cerebro sobre musculosos"""
,,"""Barriga llena, corazón contento""","""An empty belly hears no one""","""Un vientre vacío no oye a nadie""","""Un vientre vacío no oye a nadie""","""Una barriga vacía no oye a nadie"""
,,"""Casa de herrero, cuchillo de palo""","""The shoemaker's children go barefoot""","""Los hijos del zapatero van descalzos""","""Los hijos del zapatero van descalzos""","""Los hijos del zapatero van descalzos"""
,,"""Poco a poco se anda lejos""","""Little by little one goes far""","""Poco a poco se llega lejos""","""Poco a poco se llega lejos""","""Poco a poco uno va llegando lejos"""
,,"""Lo cortés no quita lo valiente""","""Politeness costs nothing""","""La cortesía no cuesta nada""","""La cortesía no cuesta nada""","""La cortesía no cuesta nada"""
,,"""A otro perro con ese hueso""","""Don't give me that""","""No me des eso""","""No me vengas con esas""","""No me des eso"""
,,"""Contigo pan y cebolla""","""Love in a cottage""","""Amor en una cabaña""","""Amor en una casa de campo""","""Amor en una cabaña"""
,,"""Quien tiene boca se equivoca""","""Nobody's perfect""","""Nadie es perfecto""","""Nadie es perfecto""","""Nadie es perfecto"""
,,"""El poeta nace, el orador se hace""","""Poets are born, but orators are trained""","""Los poetas nacen, pero los oradores se forman""","""Los poetas nacen, pero los oradores se forman""","""Los poetas nacen, pero los oradores se forman"""
,,"""Haz bien y no mires a quien""","""Cast your bread upon the waters""","""Echa tu pan sobre las aguas""","""Echa tu pan sobre las aguas""","""Echa tu pan sobre las aguas"""
,,"""El que se excusa, se acusa""","""He who excuses himself, accuses himself""","""El que se excusa, se acusa a sí mismo""","""Quien se excusa, se acusa""","""El que se excusa, se acusa a sí mismo"""
,,"""Lo barato sale caro""","""Penny wise and pound foolish""","""Penny sabia y libra tonta""","""El que sabe un centavo es el que no sabe un centavo""","""Penny sabia y libra tonta"""
,,"""A rey muerto, rey puesto""","""Out with the old, in with the new""","""Fuera lo viejo, adentro lo nuevo""","""Fuera lo viejo, adentro lo nuevo""","""Fuera lo viejo, adentro lo nuevo"""
,,"""Se dice el pecado, pero no el pecador""","""No names no pack drill""","""Sin nombres no hay simulacro de paquete""","""Sin nombres no hay simulacro de manada""","""Sin nombres, no hay taladro de paquete"""
,,"""Mucho don pero poco din""","""Show off""","""Presumir""","""Presumir""","""Presumir"""
,,"""Hoy por ti, mañana por mi""","""You scratch my back, I'll scratch yours""","""Tú me rascas la espalda, yo rascaré la tuya""","""Tú me rascas la espalda, yo rascaré la tuya""","""Tú me rascas la espalda, yo rascaré la tuya"""
,,"""No hay rosas sin espinas""","""There is no rose without a thorn""","""No hay rosas sin espinas""","""No hay rosas sin espinas""","""No hay rosas sin espinas"""
,,"""El que busca, encuentra""","""Search and you shall find""","""Busca y encontrarás""","""Busca y encontrarás""","""Busca y encontrarás"""
,,"""Quien se pica, ajos come""","""Whoever bites, eat garlic""","""Quien muerde, que coma ajo""","""Quien pica come ajo""","""Quien muerde come ajo"""
,,"""Empezar de cero""","""Go back to the drawing board""","""Vuelve a la mesa de dibujo""","""Vuelve a la mesa de dibujo""","""Vuelve a la mesa de dibujo"""
,,"""Hierba mala, nunca muere""","""Weeds are not killed by the frost""","""Las malas hierbas no las mata la helada""","""Las malas hierbas no las mata la helada""","""Las malas hierbas no las mata la helada"""
,,"""El tiempo es oro""","""Time is money""","""El tiempo es dinero""","""El tiempo es oro""","""El tiempo es dinero"""
,,"""Ojo por ojo, diente por diente""","""An eye for an eye, and a tooth for a tooth""","""Ojo por ojo y diente por diente""","""Ojo por ojo y diente por diente""","""Ojo por ojo y diente por diente"""
,,"""Quien canta, su mal espanta""","""Sing your sorrows away""","""Canta tus penas lejos""","""Canta para alejar tus penas""","""Canta tus penas"""
,,"""Hacer leña del árbol caído""","""Kick him when he's down""","""Patéalo cuando esté caído""","""Patéalo cuando esté en el suelo""","""Dale una patada cuando esté abajo"""
,,"""El que a hierro mata, a hierro muere""","""He who lives by the sword, dies by the sword""","""El que vive a espada, a espada muere""","""Quien vive por la espada, muere por la espada""","""El que vive por la espada, muere por la espada"""
,,"""Piensa mal y acertarás""","""Think the worst and you won't be disappointed""","""Piensa lo peor y no te decepcionarás""","""Piensa lo peor y no te decepcionarás""","""Piensa lo peor y no te decepcionarás"""
,,"""Ojos que no ven, corazón que no siente""","""Out of sight, out of mind""","""Fuera de la vista, fuera de la mente""","""Fuera de la vista, fuera de la mente""","""Fuera de la vista, fuera de la mente"""
,,"""La excepción que confirma la regla""","""The exception to the rule""","""La excepción a la regla""","""La excepción a la regla""","""La excepción a la regla"""
,,"""No darse por vencido""","""Hang in there""","""Cuelga ahí""","""Aguanta""","""Aguanta"""
,,"""Un clavo saca a otro clavo""","""New love drives out old love""","""El nuevo amor expulsa al viejo amor""","""El nuevo amor expulsa al viejo amor""","""El nuevo amor expulsa al viejo amor"""
,,"""Mañana será otro día""","""Tomorrow will be another day""","""Mañana será otro día""","""Mañana será otro día""","""Mañana será otro día"""
,,"""La intención es lo que cuenta""","""It's the intention that counts""","""Es la intención lo que cuenta""","""Es la intención lo que cuenta""","""Es la intención lo que cuenta"""
,,"""Más claro no canta un gallo""","""It can't be clearer""","""No puede ser más claro""","""No puede ser más claro""","""No puede ser más claro"""
,,"""La música amansa a las fieras""","""Music calms the savage beasts""","""La música calma a las bestias""","""La música calma a las bestias""","""La música calma a las bestias"""
,,"""El casado, casa quiere""","""All the newlyweds wants their own home""","""Todos los recién casados quieren su propia casa""","""Todos los recién casados quieren su propia casa""","""Todos los recién casados quieren su propia casa"""
